"id","std_num","std_name","std_addr"
"1","ASTM E1875-00","Standard Test Method for Dynamic Young's Modulus, Shear Modulus, and Poisson's Ratio by Sonic Resonance",""
"2","ASTM E228-11","Standard Test Method for Linear Thermal Expansion of Solid Materials With a Push-Rod Dilatometer",""
"3","ASTM E21-2009","Standard Test Methods for Elevated Temperature Tension Tests of Metallic Materials",""
"4","ASTM E139-11","Standard Test Methods for Conducting Creep, Creep-Rupture, and Stress-Rupture Tests of Metallic Materials",""
"5","ASTM E606-12","Standard Test Method for Strain-Controlled Fatigue Testing",""
"6","ASTM E2714-13","Standard Test Method for Creep-Fatigue Testing",""
"7","ASTM E23-12c","Standard Test Method for Notched Bar Impact Testing of Metallic Materials ",""
"8","ASTM E8/E8M","Standard Test Methods for Tension Testing of Metallic Materials",""
"9","GB/T 13303-1991","钢的抗氧化性能测定方法",""
"10","None","without standard",""
