"id","param_unit","param_intro","param_maintainer","param_name","param_scope","param_scope_sc"
"1","%","显气孔率","","Open porosity","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"2","Ω?m","电阻率 ","","Electrical resistivity","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"3","","洛氏硬度","","Rockwell Hardness","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"4","wt. %","灰分含量 ","","Ash content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"5","wt. %","硼当量","","Equivalant boron content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"6","ppm","钴含量 ","","Co content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"7","ppm","锂含量","","Li content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"8","ppm","氮含量","","N content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"9","ppm","硼含量 ","","B content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"10","ppm","钙含量","","Ca content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"11","ppm","镉含量","","Cd content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"12","ppm","氯含量 ","","Cl content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"13","ppm","镝含量 ","","Dy content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"14","ppm","铕含量 ","","Eu content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"15","ppm","铁含量 ","","Fe content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"16","ppm","钆含量 ","","Gd content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"17","ppm","镍含量 ","","Ni content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"18","ppm","钐含量 ","","Sm content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
