data_id,material_grade,material_batch,standard_id,param_value,param_id,report_id,material_block_size,data_source,test_time,test_infiltration_duration,test_org,note,material_manufacturer,material_block_num,material_produce_date,sample_direction,sample_num_avg,sample_num,molten_salt_composition_id,molten_salt_batch,inflitration_experiment_no,test_preset_pres,test_inflitration_pres,test_inflitration_temp,molten_salt_content,test_notch_depth,test_support_span,molten_salt_distribution,db_type,sample_org,sample_index,sample_position_id,maintainer_id,test_temp,test_temp_span,sample_size,upload_time
344,NG-CT-10,H1,23,23.48,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,101,7,4,25,,,
345,NG-CT-10,H1,23,24.9,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,102,7,4,25,,,
346,NG-CT-10,H1,23,25.17,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,103,7,4,25,,,
347,NG-CT-10,H1,23,23.33,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,104,7,4,25,,,
348,NG-CT-10,H1,23,23.48,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,105,7,4,25,,,
349,NG-CT-10,H1,23,19.62,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,106,7,4,25,,,
350,NG-CT-10,H1,23,25.69,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,107,7,4,25,,,
351,NG-CT-10,H1,23,24,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,201,7,4,25,,,
352,NG-CT-10,H1,23,26.34,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,202,7,4,25,,,
353,NG-CT-10,H1,23,26.48,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,203,7,4,25,,,
354,NG-CT-10,H1,23,25.93,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,204,7,4,25,,,
355,NG-CT-10,H1,23,27.32,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,205,7,4,25,,,
356,NG-CT-10,H1,23,25.6,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,206,7,4,25,,,
357,NG-CT-10,H1,23,25.82,28,1,410×410×600,SINAP,2015.02.08,,Fangda Carbon,,成都炭素,3H009,2014.1,WG,1,1,,,,,,,,,,,1,,207,7,4,25,,,
